Rank,Name,G,PA,HR,AVG,wRC+,WAR,WAR_162,WAR_600
420,Chris Coghlan,673,2340,44,0.243,92,3.8,0.91,0.97
421,Johan Camargo,349,1155,34,0.261,96,3.7,1.72,1.92
422,Cavan Biggio,154,673,22,0.238,116,3.7,3.89,3.3
423,Michael Morse,693,2421,99,0.272,118,3.7,0.86,0.92
424,Jesse Winker,298,1024,41,0.281,125,3.6,1.96,2.11
425,Jesus Aguilar,494,1503,69,0.259,111,3.6,1.18,1.44
426,James Loney,980,3698,63,0.278,99,3.5,0.58,0.57
427,Clint Barmes,654,2090,36,0.232,70,3.5,0.87,1
428,Johnny Damon,359,1484,28,0.259,102,3.5,1.58,1.42
429,Travis Hafner,360,1392,50,0.253,116,3.5,1.58,1.51
430,Erik Kratz,333,951,31,0.209,63,3.5,1.7,2.21
431,James McCann,597,2232,64,0.249,85,3.5,0.95,0.94
432,Scott Van Slyke,355,869,29,0.242,109,3.5,1.6,2.42
433,Freddy Sanchez,171,740,10,0.291,105,3.5,3.32,2.84
434,Tyler Naquin,320,1007,31,0.277,101,3.5,1.77,2.09
435,Josh Bell,547,2170,85,0.261,114,3.5,1.04,0.97
436,Sam Fuld,520,1411,11,0.223,76,3.5,1.09,1.49
437,Eloy Jimenez,174,719,45,0.276,124,3.4,3.17,2.84
438,Danny Santana,509,1739,42,0.26,87,3.3,1.05,1.14
439,Juan Pierre,561,2214,5,0.278,81,3.3,0.95,0.89
440,Lourdes Gurriel Jr.,201,812,41,0.283,119,3.3,2.66,2.44
441,Kevin Kouzmanoff,229,894,25,0.25,86,3.3,2.33,2.21
442,Kurt Suzuki,1146,4296,104,0.254,89,3.3,0.47,0.46
443,Carlos Corporan,231,779,20,0.217,70,3.3,2.31,2.54
444,Bryan Reynolds,184,734,21,0.28,115,3.2,2.82,2.62
445,Gordon Beckham,966,3352,66,0.233,76,3.2,0.54,0.57
446,Andruw Jones,278,819,46,0.224,113,3.2,1.86,2.34
447,Ben Gamel,442,1383,23,0.261,95,3.2,1.17,1.39
448,Everth Cabrera,407,1630,10,0.244,80,3.2,1.27,1.18
449,Luke Scott,382,1388,59,0.25,114,3.1,1.31,1.34
450,Chris Carter,750,2853,158,0.217,110,3.1,0.67,0.65
451,Andy Dirks,297,1063,24,0.276,103,3.1,1.69,1.75
452,Niko Goodrum,291,1135,33,0.236,91,3.1,1.73,1.64
453,Chris Gimenez,346,937,21,0.228,85,3.1,1.45,1.99
454,Ji-Man Choi,290,1000,39,0.245,115,3.1,1.73,1.86
455,Adam Dunn,711,2911,146,0.215,109,3,0.68,0.62
456,Travis Snider,529,1615,43,0.242,92,3,0.92,1.11
457,Nate Schierholtz,625,1769,46,0.244,92,3,0.78,1.02
458,Carlos Pena,564,2179,84,0.204,102,3,0.86,0.83
459,Hunter Dozier,287,1158,43,0.255,106,3,1.69,1.55
460,Tucker Barnhart,624,2163,44,0.248,83,3,0.78,0.83
461,Christian Walker,264,918,41,0.254,110,3,1.84,1.96
462,Pat Burrell,212,656,27,0.245,122,3,2.29,2.74
463,Ryan Ludwick,550,2123,67,0.251,103,3,0.88,0.85
464,David Dahl,264,1020,38,0.286,101,2.9,1.78,1.71
465,David Bote,241,693,23,0.243,101,2.9,1.95,2.51
466,Yandy Diaz,201,784,17,0.28,113,2.9,2.34,2.22
